informative_lh,prior,lh,left_pred,red_observation,run
True,0.5,0.8,57,False,45
False,0.1,0.4,64,True,45
True,0.5,0.8,22,True,46
False,0.9,0.4,79,True,46
True,0.5,0.7,05,True,47
False,0.9,0.5,23,True,47
True,0.6,0.2,31,False,48
False,0.3,0.5,76,False,48
True,0.5,0.1,92,True,49
False,0.9,0.5,36,False,49
True,0.5,0.2,83,False,50
False,0.7,0.4,16,False,50
True,0.6,0.7,02,True,51
False,0.7,0.5,09,False,51
True,0.6,0.8,97,True,52
False,0.8,0.5,11,False,52
True,0.5,0.9,51,False,53
False,0.2,0.5,69,False,53
True,0.4,0.7,88,False,54
False,0.9,0.5,11,False,54
True,0.6,0.2,18,True,55
False,0.1,0.4,93,False,55
True,0.4,0.9,41,True,56
False,0.8,0.5,09,True,56
True,0.4,0.2,54,False,57
False,0.7,0.5,47,True,57
True,0.6,0.2,24,True,58
False,0.9,0.5,66,False,58
True,0.6,0.1,15,False,59
False,0.2,0.6,06,False,59
True,0.4,0.8,67,False,60
False,0.8,0.5,09,True,60
True,0.6,0.8,95,False,61
False,0.2,0.4,96,True,61
True,0.4,0.3,75,True,62
False,0.9,0.5,71,False,62
True,0.5,0.1,12,True,63
False,0.2,0.6,13,True,63
True,0.5,0.2,60,True,64
False,0.7,0.5,84,True,64
True,0.5,0.1,13,False,65
False,0.1,0.5,60,False,65
True,0.5,0.1,33,True,66
False,0.8,0.5,21,True,66
True,0.5,0.9,96,True,67
False,0.9,0.5,55,False,67
True,0.5,0.9,66,False,68
False,0.2,0.5,59,False,68
True,0.6,0.3,36,True,69
False,0.8,0.6,53,True,69
True,0.4,0.8,73,False,70
False,0.1,0.5,77,False,70
True,0.5,0.7,72,True,71
False,0.1,0.6,51,False,71
True,0.5,0.7,32,False,72
False,0.3,0.4,59,True,72
True,0.5,0.7,47,False,73
False,0.2,0.6,82,False,73
True,0.4,0.7,70,True,74
False,0.1,0.5,52,False,74
True,0.5,0.9,95,True,75
False,0.9,0.5,04,True,75
True,0.5,0.7,50,True,76
False,0.2,0.5,64,False,76
True,0.6,0.7,33,True,77
False,0.7,0.4,30,False,77
True,0.4,0.8,73,False,78
False,0.7,0.5,80,False,78
True,0.5,0.1,30,False,79
False,0.3,0.5,96,False,79
True,0.4,0.2,48,False,80
False,0.7,0.5,54,True,80
True,0.6,0.2,18,False,81
False,0.9,0.6,35,False,81
True,0.4,0.1,81,False,82
False,0.1,0.5,29,False,82
True,0.5,0.1,28,True,83
False,0.3,0.5,15,False,83
True,0.5,0.7,58,True,84
False,0.1,0.5,92,True,84
True,0.5,0.3,55,True,85
False,0.2,0.4,67,False,85
True,0.4,0.8,10,False,86
False,0.1,0.5,31,False,86
True,0.6,0.2,64,True,87
False,0.1,0.4,67,True,87
True,0.6,0.2,31,False,88
False,0.8,0.5,92,True,88
True,0.5,0.8,95,True,89
False,0.2,0.5,28,False,89
True,0.5,0.1,13,True,90
False,0.8,0.6,62,True,90
True,0.5,0.7,81,False,91
False,0.2,0.5,33,True,91
True,0.5,0.7,73,False,92
False,0.9,0.6,11,False,92
True,0.5,0.9,82,False,93
False,0.7,0.5,58,False,93
True,0.6,0.8,03,False,94
False,0.7,0.6,63,True,94
True,0.5,0.8,49,True,95
False,0.1,0.5,21,False,95
True,0.5,0.3,20,False,96
False,0.1,0.4,12,True,96
True,0.5,0.1,92,True,97
False,0.9,0.6,43,True,97
True,0.4,0.2,76,False,98
False,0.9,0.6,59,True,98
True,0.6,0.1,80,False,99
False,0.7,0.4,33,True,99
True,0.5,0.1,15,True,100
False,0.7,0.4,40,True,100
True,0.4,0.1,29,False,101
False,0.2,0.5,98,False,101
True,0.5,0.3,70,False,102
False,0.9,0.5,79,True,102
True,0.6,0.9,41,False,103
False,0.3,0.5,14,False,103
True,0.6,0.2,83,False,104
False,0.1,0.4,55,True,104
True,0.6,0.2,53,True,105
False,0.2,0.5,11,True,105
True,0.5,0.8,71,True,106
False,0.8,0.4,45,True,106
True,0.4,0.9,73,True,107
False,0.1,0.6,12,True,107
True,0.4,0.9,10,False,108
False,0.9,0.5,77,False,108
True,0.5,0.8,70,False,109
False,0.9,0.4,96,True,109
True,0.5,0.8,93,False,110
False,0.9,0.5,88,False,110
True,0.6,0.1,53,True,111
False,0.7,0.5,35,True,111
True,0.5,0.1,12,True,112
False,0.8,0.6,65,False,112
True,0.4,0.3,18,True,113
False,0.9,0.4,78,False,113
True,0.5,0.9,83,True,114
False,0.8,0.5,73,False,114
True,0.5,0.8,88,True,115
False,0.7,0.5,02,True,115
True,0.6,0.1,15,False,116
False,0.7,0.4,49,True,116
True,0.6,0.7,51,True,117
False,0.9,0.6,54,True,117
True,0.6,0.3,12,True,118
False,0.8,0.5,94,False,118
True,0.6,0.1,55,False,119
False,0.9,0.4,39,False,119
True,0.6,0.7,76,True,120
False,0.2,0.5,59,False,120
True,0.4,0.3,57,False,121
False,0.3,0.6,89,True,121
True,0.5,0.1,18,True,122
False,0.9,0.4,79,False,122
True,0.5,0.1,55,True,123
False,0.3,0.4,79,False,123
True,0.6,0.8,04,True,124
False,0.9,0.5,87,False,124
True,0.5,0.1,27,True,125
False,0.1,0.4,46,True,125
True,0.4,0.2,33,True,126
False,0.7,0.5,96,True,126
True,0.5,0.9,93,False,127
False,0.8,0.6,67,True,127
True,0.5,0.9,11,False,128
False,0.2,0.4,91,True,128
True,0.6,0.9,52,False,129
False,0.8,0.5,03,False,129
True,0.5,0.9,07,False,130
False,0.9,0.4,13,False,130
True,0.4,0.2,56,True,131
False,0.1,0.5,07,False,131
True,0.4,0.3,87,False,132
False,0.3,0.6,04,False,132
True,0.5,0.3,83,False,133
False,0.7,0.4,85,True,133
True,0.5,0.9,47,True,134
False,0.1,0.5,11,True,134
True,0.4,0.1,47,True,135
False,0.8,0.5,45,True,135
True,0.6,0.3,55,False,136
False,0.8,0.5,18,False,136
True,0.5,0.2,48,True,137
False,0.8,0.5,95,False,137
True,0.5,0.9,88,True,138
False,0.9,0.6,62,False,138
True,0.4,0.7,78,False,139
False,0.2,0.6,40,True,139
True,0.4,0.9,76,False,140
False,0.1,0.6,93,True,140
True,0.6,0.2,50,False,141
False,0.3,0.5,80,False,141
True,0.5,0.1,97,False,142
False,0.1,0.5,24,True,142
True,0.5,0.2,61,False,143
False,0.1,0.5,98,False,143
True,0.5,0.1,48,True,144
False,0.8,0.6,98,False,144
True,0.4,0.3,53,True,145
False,0.3,0.5,23,True,145
True,0.4,0.1,89,True,146
False,0.7,0.5,69,True,146
True,0.5,0.3,12,False,147
False,0.9,0.5,23,True,147
True,0.5,0.9,36,True,148
False,0.2,0.5,47,True,148
True,0.6,0.1,57,False,149
False,0.7,0.6,37,False,149
True,0.5,0.9,85,True,150
False,0.2,0.5,09,True,150
True,0.4,0.2,03,True,151
False,0.9,0.5,16,True,151
True,0.6,0.7,75,True,152
False,0.9,0.6,09,False,152
True,0.5,0.2,11,True,153
False,0.9,0.5,74,True,153
True,0.4,0.3,41,False,154
False,0.1,0.6,26,True,154
True,0.5,0.2,27,True,155
False,0.9,0.6,16,False,155
True,0.5,0.7,01,False,156
False,0.3,0.6,44,False,156
True,0.5,0.8,78,True,157
False,0.9,0.6,72,True,157
True,0.4,0.1,92,True,158
False,0.2,0.4,04,True,158
True,0.6,0.9,21,False,159
False,0.7,0.5,08,True,159
True,0.5,0.8,48,True,160
False,0.8,0.5,61,True,160
True,0.6,0.1,12,False,161
False,0.9,0.4,60,False,161
True,0.5,0.9,78,False,162
False,0.7,0.6,22,True,162
True,0.5,0.7,32,False,163
False,0.8,0.4,81,False,163
True,0.6,0.3,54,False,164
False,0.1,0.6,43,False,164
True,0.6,0.1,75,True,165
False,0.8,0.4,55,True,165
True,0.5,0.9,32,False,166
False,0.9,0.6,60,False,166
True,0.5,0.9,43,False,167
False,0.3,0.4,83,True,167
True,0.6,0.7,37,False,168
False,0.9,0.5,61,False,168
True,0.5,0.7,83,False,169
False,0.2,0.5,56,False,169
True,0.4,0.2,19,False,170
False,0.1,0.5,37,False,170
True,0.5,0.7,28,False,171
False,0.8,0.5,05,False,171
True,0.5,0.8,19,False,172
False,0.2,0.5,89,False,172
True,0.5,0.3,28,True,173
False,0.1,0.4,67,False,173
True,0.5,0.1,61,False,174
False,0.1,0.6,27,True,174
True,0.5,0.1,81,False,175
False,0.3,0.5,99,False,175
True,0.4,0.2,35,False,176
False,0.3,0.6,68,True,176
True,0.6,0.7,73,True,177
False,0.7,0.6,11,False,177
True,0.6,0.9,41,False,178
False,0.7,0.4,73,False,178
True,0.5,0.9,20,True,179
False,0.2,0.4,61,False,179
True,0.4,0.2,11,False,180
False,0.3,0.4,42,True,180
True,0.6,0.7,16,False,181
False,0.7,0.5,83,False,181
True,0.4,0.3,95,False,182
False,0.8,0.5,52,False,182
True,0.4,0.2,96,True,183
False,0.3,0.5,49,True,183
True,0.4,0.7,76,False,184
False,0.1,0.6,31,False,184
True,0.5,0.8,29,True,185
False,0.1,0.4,99,True,185
True,0.5,0.9,58,True,186
False,0.7,0.5,43,False,186
True,0.4,0.3,68,True,187
False,0.3,0.6,15,True,187
True,0.5,0.1,98,True,188
False,0.2,0.5,18,False,188
True,0.4,0.3,36,True,189
False,0.7,0.5,95,True,189
True,0.5,0.1,41,False,190
False,0.9,0.5,24,False,190
True,0.5,0.8,09,True,191
False,0.2,0.4,32,True,191
True,0.5,0.1,06,True,192
False,0.1,0.5,50,True,192
True,0.5,0.3,48,True,193
False,0.2,0.5,60,False,193
True,0.5,0.8,74,True,194
False,0.9,0.5,81,False,194
True,0.5,0.2,76,False,195
False,0.2,0.4,42,True,195
True,0.5,0.3,37,False,196
False,0.9,0.5,80,True,196
True,0.5,0.3,35,True,197
False,0.1,0.5,99,False,197
True,0.5,0.3,21,True,198
False,0.7,0.5,47,False,198
True,0.5,0.9,24,False,199
False,0.7,0.5,45,False,199
