informative_lh,prior,lh,left_pred,red_observation,run
True,0.5,0.7,0.0,False,36
False,0.8,0.5,0.0,False,36
True,0.5,0.3,0.5,False,37
False,0.7,0.5,0.0,False,37
True,0.6,0.8,0.0,True,38
False,0.7,0.5,0.0,False,38
True,0.6,0.2,0.5,True,39
False,0.9,0.5,0.0,False,39
True,0.6,0.1,0.5,True,40
False,0.2,0.6,0.0,False,40
True,0.4,0.7,0.0,True,41
False,0.2,0.4,0.0,False,41
True,0.5,0.2,0.5,False,42
False,0.8,0.5,0.5,True,42
True,0.5,0.8,0.0,True,43
False,0.8,0.6,0.0,True,43
True,0.4,0.7,0.5,True,44
False,0.3,0.5,0.0,False,44
True,0.6,0.3,0.5,True,45
False,0.1,0.6,0.5,False,45
True,0.4,0.8,91,False,46
False,0.7,0.4,0.0,False,46
True,0.5,0.8,0.5,True,47
False,0.2,0.5,0.5,True,47
True,0.5,0.2,0.0,False,48
False,0.3,0.4,0.5,True,48
True,0.5,0.1,0.5,False,49
False,0.7,0.5,0.0,True,49
True,0.5,0.2,0.0,False,50
False,0.3,0.6,0.0,False,50
True,0.4,0.2,0.5,True,51
False,0.1,0.5,0.5,True,51
True,0.4,0.8,0.5,False,52
False,0.1,0.4,27,True,52
True,0.4,0.8,0.0,False,53
False,0.9,0.5,05,True,53
True,0.4,0.1,93,True,54
False,0.9,0.4,0.0,False,54
True,0.6,0.3,0.0,True,55
False,0.8,0.6,0.5,False,55
True,0.5,0.8,0.0,True,56
False,0.2,0.6,0.0,False,56
True,0.5,0.1,0.0,False,57
False,0.1,0.6,0.0,True,57
True,0.5,0.2,0.5,False,58
False,0.2,0.6,0.0,False,58
True,0.4,0.3,0.0,True,59
False,0.2,0.4,0.5,True,59
True,0.5,0.9,0.0,True,60
False,0.7,0.6,0.75,True,60
True,0.5,0.3,20,True,61
False,0.3,0.5,0.0,False,61
True,0.5,0.8,0.0,True,62
False,0.8,0.4,0.0,False,62
True,0.6,0.1,0.5,False,63
False,0.9,0.5,0.0,True,63
True,0.5,0.3,0.0,True,64
False,0.9,0.5,0.5,True,64
True,0.5,0.8,0.0,False,65
False,0.1,0.5,0.0,False,65
True,0.5,0.1,0.0,False,66
False,0.9,0.5,0.0,False,66
True,0.5,0.8,0.0,False,67
False,0.2,0.4,0.5,True,67
True,0.5,0.3,0.5,False,68
False,0.2,0.5,0.5,True,68
True,0.4,0.7,0.0,False,69
False,0.1,0.5,0.0,True,69
True,0.5,0.9,79,False,70
False,0.1,0.6,0.0,False,70
True,0.5,0.9,92,True,71
False,0.3,0.4,0.0,False,71
True,0.5,0.1,0.0,False,72
False,0.8,0.5,0.5,True,72
True,0.4,0.2,0.0,True,73
False,0.1,0.6,0.0,True,73
True,0.5,0.7,0.0,True,74
False,0.7,0.4,0.5,True,74
True,0.4,0.1,0.0,False,75
False,0.1,0.5,0.5,True,75
True,0.5,0.1,0.5,True,76
False,0.9,0.6,0.0,True,76
True,0.6,0.7,0.0,False,77
False,0.1,0.6,0.5,False,77
True,0.4,0.1,0.0,True,78
False,0.3,0.4,0.5,True,78
True,0.5,0.8,04,True,79
False,0.7,0.5,0.5,False,79
True,0.5,0.7,80,False,80
False,0.9,0.6,81,True,80
True,0.5,0.9,0.0,False,81
False,0.7,0.4,0.5,False,81
True,0.5,0.7,0.5,True,82
False,0.9,0.5,0.0,False,82
True,0.5,0.1,0.5,True,83
False,0.3,0.4,0.0,True,83
True,0.5,0.8,77,True,84
False,0.3,0.4,35,True,84
True,0.5,0.7,0.0,False,85
False,0.7,0.5,0.0,False,85
True,0.5,0.3,0.5,True,86
False,0.1,0.5,0.0,True,86
True,0.4,0.3,0.5,False,87
False,0.1,0.4,0.0,False,87
True,0.4,0.1,0.0,False,88
False,0.7,0.4,0.0,True,88
True,0.5,0.9,28,True,89
False,0.2,0.4,48,True,89
True,0.5,0.3,0.0,True,90
False,0.7,0.5,0.0,False,90
True,0.6,0.2,0.5,False,91
False,0.3,0.5,0.5,False,91
True,0.5,0.1,0.0,True,92
False,0.1,0.5,0.5,False,92
True,0.5,0.7,0.0,True,93
False,0.3,0.5,0.5,True,93
True,0.5,0.8,0.0,True,94
False,0.1,0.6,0.5,True,94
True,0.4,0.8,0.5,False,95
False,0.7,0.6,0.5,True,95
True,0.5,0.9,07,True,96
False,0.3,0.5,0.5,True,96
True,0.5,0.9,0.5,True,97
False,0.9,0.5,0.5,True,97
True,0.4,0.2,0.0,False,98
False,0.8,0.5,0.5,True,98
True,0.6,0.9,0.5,True,99
False,0.7,0.6,0.0,True,99
True,0.5,0.1,0.5,True,100
False,0.8,0.6,0.0,False,100
True,0.4,0.2,0.5,True,101
False,0.9,0.5,0.5,False,101
True,0.5,0.1,0.5,False,102
False,0.8,0.4,95,False,102
True,0.6,0.8,0.5,True,103
False,0.9,0.4,79,False,103
True,0.5,0.8,0.0,False,104
False,0.2,0.6,43,False,104
True,0.4,0.3,0.0,True,105
False,0.8,0.5,0.5,True,105
True,0.4,0.7,0.5,True,106
False,0.3,0.5,0.5,True,106
True,0.5,0.2,0.0,True,107
False,0.2,0.6,41,False,107
True,0.6,0.1,0.0,True,108
False,0.1,0.5,0.5,True,108
True,0.6,0.7,0.0,False,109
False,0.7,0.5,0.0,True,109
True,0.5,0.2,0.0,False,110
False,0.3,0.5,0.0,False,110
True,0.5,0.9,0.0,False,111
False,0.2,0.6,22,False,111
True,0.6,0.7,0.0,False,112
False,0.1,0.6,0.5,False,112
True,0.5,0.8,0.0,True,113
False,0.9,0.4,0.0,False,113
True,0.6,0.8,0.0,False,114
False,0.3,0.4,0.5,True,114
True,0.4,0.7,0.5,True,115
False,0.9,0.4,21,True,115
True,0.6,0.9,0.5,True,116
False,0.1,0.5,0.0,True,116
True,0.5,0.7,0.0,False,117
False,0.1,0.5,0.0,True,117
True,0.6,0.3,0.5,False,118
False,0.2,0.5,0.5,False,118
True,0.4,0.7,0.0,False,119
False,0.8,0.4,0.0,False,119
True,0.6,0.3,0.0,False,120
False,0.1,0.5,0.5,False,120
True,0.5,0.3,11,False,121
False,0.8,0.5,0.5,False,121
True,0.5,0.9,0.0,True,122
False,0.7,0.5,0.5,True,122
True,0.4,0.2,0.5,True,123
False,0.8,0.5,0.5,False,123
True,0.5,0.2,0.0,False,124
False,0.8,0.6,0.0,False,124
True,0.6,0.2,0.5,True,125
False,0.8,0.4,0.0,False,125
True,0.5,0.2,01,False,126
False,0.2,0.4,0.0,True,126
True,0.5,0.8,0.0,False,127
False,0.7,0.6,74,True,127
True,0.4,0.7,64,True,128
False,0.7,0.6,0.0,True,128
True,0.5,0.9,0.5,True,129
False,0.8,0.5,0.5,False,129
True,0.5,0.1,77,False,130
False,0.8,0.5,0.0,True,130
True,0.5,0.1,0.5,False,131
False,0.3,0.5,28,True,131
True,0.6,0.8,0.5,True,132
False,0.1,0.4,0.5,True,132
True,0.4,0.7,0.0,False,133
False,0.3,0.5,0.5,True,133
True,0.4,0.1,03,False,134
False,0.7,0.5,0.0,True,134
True,0.5,0.9,0.0,False,135
False,0.2,0.6,85,False,135
True,0.5,0.9,0.0,False,136
False,0.1,0.4,0.5,True,136
True,0.5,0.7,0.0,False,137
False,0.8,0.5,0.0,True,137
True,0.4,0.1,0.5,True,138
False,0.8,0.4,0.5,False,138
True,0.5,0.7,0.5,True,139
False,0.2,0.4,0.5,True,139
True,0.6,0.2,0.5,True,140
False,0.8,0.6,0.0,False,140
True,0.4,0.7,0.0,True,141
False,0.1,0.4,34,False,141
True,0.4,0.3,0.5,False,142
False,0.9,0.5,0.5,False,142
True,0.6,0.2,0.0,False,143
False,0.3,0.5,0.0,True,143
True,0.6,0.9,0.0,False,144
False,0.8,0.4,0.5,True,144
True,0.5,0.1,0.5,True,145
False,0.7,0.5,0.5,False,145
True,0.6,0.8,54,False,146
False,0.3,0.5,38,True,146
True,0.4,0.7,0.5,False,147
False,0.8,0.5,0.5,True,147
True,0.5,0.8,0.0,True,148
False,0.7,0.6,0.0,False,148
True,0.5,0.1,0.0,False,149
False,0.1,0.5,0.0,False,149
True,0.6,0.8,0.0,True,150
False,0.1,0.6,0.0,True,150
True,0.5,0.2,0.0,True,151
False,0.2,0.4,17,False,151
True,0.5,0.8,0.0,True,152
False,0.3,0.4,0.0,True,152
True,0.4,0.7,56,False,153
False,0.2,0.5,0.5,True,153
True,0.5,0.1,0.5,True,154
False,0.1,0.5,0.5,True,154
True,0.5,0.1,82,False,155
False,0.9,0.4,0.5,True,155
True,0.6,0.1,0.0,False,156
False,0.7,0.5,0.5,True,156
True,0.4,0.9,0.0,False,157
False,0.8,0.4,0.0,False,157
True,0.5,0.1,0.5,True,158
False,0.9,0.5,0.0,False,158
True,0.5,0.2,0.8,True,159
False,0.1,0.6,0.0,True,159
True,0.4,0.9,0.5,True,160
False,0.2,0.6,0.0,False,160
True,0.4,0.9,0.0,False,161
False,0.8,0.6,0.5,False,161
True,0.6,0.3,0.5,False,162
False,0.7,0.6,0.0,False,162
True,0.5,0.2,0.0,False,163
False,0.2,0.5,0.5,True,163
True,0.5,0.2,0.0,False,164
False,0.3,0.6,0.5,True,164
True,0.5,0.9,0.0,True,165
False,0.8,0.4,0.5,False,165
True,0.6,0.8,0.0,False,166
False,0.1,0.6,0.0,True,166
True,0.5,0.7,0.3,True,167
False,0.9,0.6,0.0,True,167
True,0.4,0.1,36,True,168
False,0.7,0.6,0.0,False,168
True,0.5,0.7,73,True,169
False,0.1,0.5,0.0,False,169
True,0.6,0.8,0.0,True,170
False,0.7,0.4,0.0,True,170
True,0.4,0.3,0.5,False,171
False,0.9,0.5,42,True,171
True,0.5,0.1,0.0,False,172
False,0.3,0.5,0.0,False,172
True,0.5,0.9,0.0,True,173
False,0.9,0.6,0.5,True,173
True,0.5,0.7,0.0,True,174
False,0.3,0.4,0.0,False,174
True,0.6,0.3,0.5,False,175
False,0.1,0.6,0.5,False,175
True,0.5,0.9,0.0,False,176
False,0.8,0.5,22,True,176
True,0.5,0.1,0.5,False,177
False,0.7,0.6,97,False,177
True,0.5,0.1,0.0,True,178
False,0.7,0.5,0.5,False,178
True,0.5,0.8,0.0,False,179
False,0.3,0.5,0.5,False,179
True,0.4,0.2,0.0,False,180
False,0.3,0.5,0.0,False,180
True,0.5,0.7,0.0,True,181
False,0.7,0.5,0.5,False,181
True,0.5,0.8,0.0,True,182
False,0.2,0.5,0.0,False,182
True,0.5,0.1,0.5,True,183
False,0.8,0.4,0.0,False,183
True,0.5,0.7,0.0,True,184
False,0.2,0.6,0.0,True,184
True,0.5,0.1,0.0,True,185
False,0.9,0.6,0.0,True,185
True,0.6,0.7,0.5,True,186
False,0.3,0.5,0.0,False,186
True,0.5,0.1,0.5,False,187
False,0.9,0.5,0.0,False,187
True,0.5,0.1,0.0,False,188
False,0.8,0.6,0.0,False,188
True,0.6,0.3,0.0,False,189
False,0.1,0.6,0.0,True,189
True,0.4,0.1,0.5,False,190
False,0.9,0.5,0.0,False,190
True,0.5,0.7,0.0,True,191
False,0.8,0.4,0.0,False,191
True,0.5,0.9,0.0,True,192
False,0.7,0.5,0.0,False,192
True,0.6,0.7,0.0,False,193
False,0.7,0.5,0.5,False,193
True,0.6,0.2,0.0,False,194
False,0.1,0.5,0.5,False,194
True,0.5,0.1,0.0,False,195
False,0.8,0.4,0.5,True,195
True,0.5,0.2,0.0,False,196
False,0.1,0.6,0.5,True,196
True,0.6,0.8,0.0,False,197
False,0.7,0.5,0.5,False,197
True,0.5,0.1,0.5,False,198
False,0.1,0.6,0.0,True,198
True,0.5,0.7,76,False,199
False,0.1,0.6,0.0,False,199
